time,geo,variable,value
2020-03-21,zrh_rsgrt,kbi,1
2020-03-21,zrh_rsgrt,kbi_no2,1
2020-03-21,zrh_rsgrt,kbi_o3,1
2020-03-21,zrh_rsgrt,kbi_pm10,1
2020-03-21,zrh_rsgrt,no2,19.42
2020-03-21,zrh_rsgrt,o3_max_h,84.14
2020-03-21,zrh_rsgrt,pm10,14.65
2020-03-21,zrh_schmls,kbi,1
2020-03-21,zrh_schmls,kbi_no2,1
2020-03-21,zrh_schmls,kbi_o3,1
2020-03-21,zrh_schmls,kbi_pm10,1
2020-03-21,zrh_schmls,no2,18.08
2020-03-21,zrh_schmls,o3_max_h,83.03
2020-03-21,zrh_schmls,pm10,13.55
2020-03-21,zrh_stmpf,kbi,1
2020-03-21,zrh_stmpf,kbi_no2,1
2020-03-21,zrh_stmpf,kbi_o3,1
2020-03-21,zrh_stmpf,kbi_pm10,1
2020-03-21,zrh_stmpf,no2,12.65
2020-03-21,zrh_stmpf,o3_max_h,87.87
2020-03-21,zrh_stmpf,p,966.77
2020-03-21,zrh_stmpf,pm10,12.71
2020-03-21,zrh_stmpf,t,8.3
2020-03-22,zrh_heub,no2,3.63
2020-03-22,zrh_heub,o3_max_h,77.15
2020-03-22,zrh_rsgrt,kbi,1
2020-03-22,zrh_rsgrt,kbi_no2,1
2020-03-22,zrh_rsgrt,kbi_o3,1
2020-03-22,zrh_rsgrt,kbi_pm10,1
2020-03-22,zrh_rsgrt,no2,9.36
2020-03-22,zrh_rsgrt,o3_max_h,73.07
2020-03-22,zrh_rsgrt,pm10,13.47
2020-03-22,zrh_schmls,kbi,1
2020-03-22,zrh_schmls,kbi_no2,1
2020-03-22,zrh_schmls,kbi_o3,1
2020-03-22,zrh_schmls,kbi_pm10,1
2020-03-22,zrh_schmls,no2,9.64
2020-03-22,zrh_schmls,o3_max_h,75.33
2020-03-22,zrh_schmls,pm10,12.11
2020-03-22,zrh_stmpf,kbi,1
2020-03-22,zrh_stmpf,kbi_no2,1
2020-03-22,zrh_stmpf,kbi_o3,1
2020-03-22,zrh_stmpf,kbi_pm10,1
2020-03-22,zrh_stmpf,no2,6.43
2020-03-22,zrh_stmpf,o3_max_h,74.73
2020-03-22,zrh_stmpf,p,970.79
2020-03-22,zrh_stmpf,pm10,11.74
2020-03-22,zrh_stmpf,t,4.64
2020-03-23,zrh_heub,no2,4.62
2020-03-23,zrh_heub,o3_max_h,83.65
2020-03-23,zrh_rsgrt,kbi,1
2020-03-23,zrh_rsgrt,kbi_no2,1
2020-03-23,zrh_rsgrt,kbi_o3,1
2020-03-23,zrh_rsgrt,kbi_pm10,1
2020-03-23,zrh_rsgrt,no2,21.72
2020-03-23,zrh_rsgrt,o3_max_h,73.65
2020-03-23,zrh_rsgrt,pm10,13.74
2020-03-23,zrh_schmls,kbi,1
2020-03-23,zrh_schmls,kbi_no2,1
2020-03-23,zrh_schmls,kbi_o3,1
