time,group,geo,value
2020-01-12,tages_distanz_weniger2km_alter_3064,ch,23.7873044227892
2020-01-12,tages_distanz_weniger2km_alter_6579,ch,29.5912936791246
2020-01-12,total,ch,12.9183457967556
2020-01-12,total,rural,17.2614341023208
2020-01-12,total,urban,10.1150379060236
2020-01-12,total,zh,11.167673264541
2020-01-12,weiblich,ch,11.5784636831734
2020-01-13,alter_1529,ch,23.746586127255
2020-01-13,alter_3064,ch,24.1870423969118
2020-01-13,alter_6579,ch,13.2725391724178
2020-01-13,erwerbstaetig,ch,24.8336650905739
2020-01-13,in_ausbildung,ch,20.4498590416431
2020-01-13,maennlich,ch,24.8530495839447
2020-01-13,nicht_erwerbstaetig,ch,13.193437356129
2020-01-13,tages_distanz_10-20km,ch,16.485578546127
2020-01-13,tages_distanz_10-20km_alter_1529,ch,17.0906420605037
2020-01-13,tages_distanz_10-20km_alter_3064,ch,15.605431087734
2020-01-13,tages_distanz_10-20km_alter_6579,ch,19.5312410226936
2020-01-13,tages_distanz_100pluskm,ch,10.7970940836005
2020-01-13,tages_distanz_100pluskm_alter_1529,ch,10.0673305186901
2020-01-13,tages_distanz_100pluskm_alter_3064,ch,11.6848970182088
2020-01-13,tages_distanz_100pluskm_alter_6579,ch,7.91144821658526
2020-01-13,tages_distanz_2-10km,ch,18.5742238757097
2020-01-13,tages_distanz_2-10km_alter_1529,ch,17.2446131296143
2020-01-13,tages_distanz_2-10km_alter_3064,ch,18.3791398156383
