time,sa,value
2009-01-21,sa,90.6
2009-01-22,nsa,119.4
2009-01-22,sa,88.5
2009-01-23,nsa,100.5
2009-01-23,sa,87.9
2009-01-24,nsa,36.4
2009-01-24,sa,88.2
2009-01-25,nsa,14
2009-01-25,sa,87.6
2009-01-26,nsa,110.4
2009-01-26,sa,88.3
2009-01-27,nsa,122.5
2009-01-27,sa,88.5
2009-01-28,nsa,122.5
2009-01-28,sa,88.8
2009-01-29,nsa,118.7
2009-01-29,sa,88.2
2009-01-30,nsa,100.2
2009-01-30,sa,87.8
2009-01-31,nsa,35.5
2009-01-31,sa,87.3
2009-02-01,nsa,14.2
2009-02-01,sa,88
2009-02-02,nsa,109.5
2009-02-02,sa,88.5
2009-02-03,nsa,120.8
2009-02-03,sa,87.7
2009-02-04,nsa,121.2
2009-02-04,sa,87.3
2009-02-05,nsa,117.2
2009-02-05,sa,87.1
2009-02-06,nsa,99.6
2009-02-06,sa,88.7
2009-02-07,nsa,35.4
2009-02-07,sa,87.8
2009-02-08,nsa,13.9
2009-02-08,sa,86.8
2009-02-09,nsa,107.9
2009-02-09,sa,86.8
2009-02-10,nsa,119.5
2009-02-10,sa,86.8
2009-02-11,nsa,120.9
2009-02-11,sa,87
2009-02-12,nsa,116.9
2009-02-12,sa,86.8
2009-02-13,nsa,98.9
2009-02-13,sa,87.1
2009-02-14,nsa,35.4
2009-02-14,sa,86.7
2009-02-15,nsa,13.9
2009-02-15,sa,86.6
2009-02-16,nsa,107.1
2009-02-16,sa,85.5
2009-02-17,nsa,118.8
2009-02-17,sa,85.7
2009-02-18,nsa,120.7
2009-02-18,sa,85.9
2009-02-19,nsa,115.7
2009-02-19,sa,85.1
2009-02-20,nsa,96
2009-02-20,sa,83.8
2009-02-21,nsa,34.5
2009-02-21,sa,84.8
2009-02-22,nsa,13.2
2009-02-22,sa,85
2009-02-23,nsa,93.4
2009-02-23,sa,80.5
2009-02-24,nsa,110
2009-02-24,sa,80.9
2009-02-25,nsa,116.8
2009-02-25,sa,81.1
2009-02-26,nsa,114.2
2009-02-26,sa,82.6
2009-02-27,nsa,97.7
2009-02-27,sa,83.8
2009-02-28,nsa,36
2009-02-28,sa,84.9
2009-03-01,nsa,14.1
2009-03-01,sa,84.3
2009-03-02,nsa,108.9
2009-03-02,sa,84.5
2009-03-03,nsa,121.6
2009-03-03,sa,84.8
2009-03-04,nsa,122.1
2009-03-04,sa,84.4
2009-03-05,nsa,117.5
2009-03-05,sa,84.4
2009-03-06,nsa,99.4
2009-03-06,sa,84.3
2009-03-07,nsa,36
2009-03-07,sa,84
2009-03-08,nsa,13.9
2009-03-08,sa,84
2009-03-09,nsa,108.1
2009-03-09,sa,84
2009-03-10,nsa,120.7
2009-03-10,sa,83.3
2009-03-11,nsa,121.8
2009-03-11,sa,83.5
2009-03-12,nsa,117.2
2009-03-12,sa,84
2009-03-13,nsa,100.2
2009-03-13,sa,83.8
2009-03-14,nsa,35.6
2009-03-14,sa,83.1
2009-03-15,nsa,13.9
2009-03-15,sa,83.1
2009-03-16,nsa,108.8
2009-03-16,sa,83.7
2009-03-17,nsa,122.7
2009-03-17,sa,83.2
2009-03-18,nsa,123.3
2009-03-18,sa,82.9
2009-03-19,nsa,119.1
2009-03-19,sa,82.5
2009-03-20,nsa,100.8
2009-03-20,sa,82.1
2009-03-21,nsa,36.2
2009-03-21,sa,82.5
2009-03-22,nsa,13.6
2009-03-22,sa,82.5
2009-03-23,nsa,108.8
2009-03-23,sa,82.5
2009-03-24,nsa,122.2
2009-03-24,sa,81.9
2009-03-25,nsa,122.6
2009-03-25,sa,81.1
2009-03-26,nsa,119.3
2009-03-26,sa,82
2009-03-27,nsa,101.6
2009-03-27,sa,81.5
2009-03-28,nsa,36.7
2009-03-28,sa,81.4
2009-03-29,nsa,13.7
2009-03-29,sa,80.5
2009-03-30,nsa,109.2
2009-03-30,sa,81.4
2009-03-31,nsa,123.9
2009-03-31,sa,82.6
2009-04-01,nsa,125.7
2009-04-01,sa,82.4
2009-04-02,nsa,122.3
2009-04-02,sa,82.2
2009-04-03,nsa,105.3
2009-04-03,sa,84
2009-04-04,nsa,40.2
2009-04-04,sa,84.1
2009-04-05,nsa,15.2
2009-04-05,sa,82
2009-04-06,nsa,112.7
2009-04-06,sa,83.4
2009-04-07,nsa,127.5
2009-04-07,sa,85.9
2009-04-08,nsa,128.4
2009-04-08,sa,85.6
2009-04-09,nsa,108.2
2009-04-09,sa,86.8
2009-04-10,nsa,19.2
2009-04-10,sa,94.9
2009-04-11,nsa,25.2
2009-04-11,sa,86
2009-04-12,nsa,4.3
2009-04-12,sa,84.1
2009-04-13,nsa,11.6
2009-04-13,sa,97.3
2009-04-14,nsa,111.3
2009-04-14,sa,87.1
2009-04-15,nsa,126.9
2009-04-15,sa,83.9
2009-04-16,nsa,125.8
2009-04-16,sa,85.9
2009-04-17,nsa,107.6
2009-04-17,sa,85.6
2009-04-18,nsa,41.4
2009-04-18,sa,86
2009-04-19,nsa,14.5
2009-04-19,sa,84.5
2009-04-20,nsa,111.2
2009-04-20,sa,82
2009-04-21,nsa,125.7
2009-04-21,sa,82
2009-04-22,nsa,127.2
2009-04-22,sa,83.3
2009-04-23,nsa,123.6
2009-04-23,sa,83.9
2009-04-24,nsa,106
2009-04-24,sa,83.4
2009-04-25,nsa,38.8
2009-04-25,sa,82.4
2009-04-26,nsa,14.6
2009-04-26,sa,83.7
2009-04-27,nsa,115
2009-04-27,sa,84.7
2009-04-28,nsa,129
2009-04-28,sa,83.9
2009-04-29,nsa,129.6
2009-04-29,sa,84.6
2009-04-30,nsa,107.1
2009-04-30,sa,76.9
2009-05-01,nsa,18.8
2009-05-01,sa,82.1
2009-05-02,nsa,26.5
