time,direction,geo,value
2009-06-15,out_incl_losses,ch,165851741.46875
2009-06-16,in,ch,213676417.909
2009-06-16,out,ch,149316098.709
2009-06-16,out_incl_losses,ch,171497800.91225
2009-06-17,in,ch,212939954.484
2009-06-17,out,ch,147958488.142
2009-06-17,out_incl_losses,ch,168584869.08025
2009-06-18,in,ch,211146414.523
2009-06-18,out,ch,150449483.569
2009-06-18,out_incl_losses,ch,168748786.705
2009-06-19,in,ch,211296045.039
2009-06-19,out,ch,149717231.4
2009-06-19,out_incl_losses,ch,169854131.24625
2009-06-20,in,ch,191847117.973
2009-06-20,out,ch,121388899.132
2009-06-20,out_incl_losses,ch,143378404.044
2009-06-21,in,ch,179870486.899
2009-06-21,out,ch,110855473.908
2009-06-21,out_incl_losses,ch,130396959.6455
2009-06-22,in,ch,203677974.781
2009-06-22,out,ch,144421776.278
2009-06-22,out_incl_losses,ch,159618345.2815
2009-06-23,in,ch,199757320.058
2009-06-23,out,ch,148519318.494
2009-06-23,out_incl_losses,ch,163414620.067
2009-06-24,in,ch,194299059.399
2009-06-24,out,ch,145985542.033
2009-06-24,out_incl_losses,ch,160941125.48075
2009-06-25,in,ch,193071616.673
2009-06-25,out,ch,146176984.286
2009-06-25,out_incl_losses,ch,162906206.4155
2009-06-26,in,ch,193204707.105
2009-06-26,out,ch,144133918.598
2009-06-26,out_incl_losses,ch,160040624.79325
2009-06-27,in,ch,196649802.313
2009-06-27,out,ch,121313303.308
2009-06-27,out_incl_losses,ch,136551821.4695
2009-06-28,in,ch,191805402.762
2009-06-28,out,ch,109015586.468
2009-06-28,out_incl_losses,ch,126369730.965
2009-06-29,in,ch,230015046.091
2009-06-29,out,ch,143531856.278
2009-06-29,out_incl_losses,ch,161320081.2045
2009-06-30,in,ch,238488749.379
2009-06-30,out,ch,147521155.259
2009-06-30,out_incl_losses,ch,166637214.88525
2009-07-01,in,ch,230488427.764
2009-07-01,out,ch,150009668.931
2009-07-01,out_incl_losses,ch,168125451.03725
2009-07-02,in,ch,228574028.892
2009-07-02,out,ch,150454707.329
2009-07-02,out_incl_losses,ch,167956948.9595
2009-07-03,in,ch,222631761.173
2009-07-03,out,ch,148518134.082
2009-07-03,out_incl_losses,ch,166503435.16275
2009-07-04,in,ch,210394011.18
2009-07-04,out,ch,123698067.246
2009-07-04,out_incl_losses,ch,141119666.1625
2009-07-05,in,ch,207277175.328
2009-07-05,out,ch,112213462.678
2009-07-05,out_incl_losses,ch,131020593.96675
2009-07-06,in,ch,237163665.503
2009-07-06,out,ch,145978527.29
2009-07-06,out_incl_losses,ch,164628317.3925
2009-07-07,in,ch,232836274.71
2009-07-07,out,ch,147721749.097
2009-07-07,out_incl_losses,ch,165551685.37275
2009-07-08,in,ch,229064094.998
2009-07-08,out,ch,146074843.878
2009-07-08,out_incl_losses,ch,163332136.28175
2009-07-09,in,ch,229138957.285
2009-07-09,out,ch,145977796.902
2009-07-09,out_incl_losses,ch,163311588.973
2009-07-10,in,ch,220635659.756
2009-07-10,out,ch,142716046.102
2009-07-10,out_incl_losses,ch,160117266.41275
2009-07-11,in,ch,203798423.763
2009-07-11,out,ch,119512209.995
2009-07-11,out_incl_losses,ch,135470626.781
2009-07-12,in,ch,189861290.536
2009-07-12,out,ch,109456595.274
2009-07-12,out_incl_losses,ch,130558259.42975
2009-07-13,in,ch,223090447.212
2009-07-13,out,ch,143456809.498
2009-07-13,out_incl_losses,ch,161444897.0535
2009-07-14,in,ch,219936447.237
2009-07-14,out,ch,147214364.827
2009-07-14,out_incl_losses,ch,166866466.33
2009-07-15,in,ch,230024660.476
2009-07-15,out,ch,147422671.283
2009-07-15,out_incl_losses,ch,167154984.05625
2009-07-16,in,ch,232390954.93
2009-07-16,out,ch,146892452.445
2009-07-16,out_incl_losses,ch,166783966.0035
2009-07-17,in,ch,237762675.538
2009-07-17,out,ch,143705698.998
2009-07-17,out_incl_losses,ch,163587076.6595
2009-07-18,in,ch,218967740.313
2009-07-18,out,ch,117495019.387
2009-07-18,out_incl_losses,ch,146343739.71
2009-07-19,in,ch,209417996.185
2009-07-19,out,ch,105346115.009
2009-07-19,out_incl_losses,ch,132118533.79125
2009-07-20,in,ch,221612227.044
2009-07-20,out,ch,133177464.755
2009-07-20,out_incl_losses,ch,151694502.6025
2009-07-21,in,ch,236767213.911
2009-07-21,out,ch,136866577.072
2009-07-21,out_incl_losses,ch,153487650.0095
2009-07-22,in,ch,236862747.563
2009-07-22,out,ch,139682300.875
2009-07-22,out_incl_losses,ch,156995108.9205
2009-07-23,in,ch,233938763.502
2009-07-23,out,ch,140266046.773
2009-07-23,out_incl_losses,ch,158925211.2375
2009-07-24,in,ch,230438911.702
2009-07-24,out,ch,134276228.923
2009-07-24,out_incl_losses,ch,153700208.56425
2009-07-25,in,ch,211963180.199
2009-07-25,out,ch,113676829.201
2009-07-25,out_incl_losses,ch,138967876.01275
2009-07-26,in,ch,204700591.607
2009-07-26,out,ch,102797819.871
2009-07-26,out_incl_losses,ch,124380178.93975
2009-07-27,in,ch,228558006.233
2009-07-27,out,ch,131386728.021
2009-07-27,out_incl_losses,ch,149374187.5145
2009-07-28,in,ch,228198244.457
2009-07-28,out,ch,132323252.622
2009-07-28,out_incl_losses,ch,150093527.971
2009-07-29,in,ch,229135734.318
2009-07-29,out,ch,132416244.568
2009-07-29,out_incl_losses,ch,149835673.97675
2009-07-30,in,ch,228619998.392
2009-07-30,out,ch,133786191.473
2009-07-30,out_incl_losses,ch,152177179.0525
2009-07-31,in,ch,234151120.373
2009-07-31,out,ch,129018882.623
2009-07-31,out_incl_losses,ch,146034333.906
2009-08-01,in,ch,212098599.468
2009-08-01,out,ch,106018030.57
2009-08-01,out_incl_losses,ch,123787449.30875
2009-08-02,in,ch,201254729.708
2009-08-02,out,ch,104859610.183
2009-08-02,out_incl_losses,ch,126990297.51475
2009-08-03,in,ch,231953197.395
2009-08-03,out,ch,131879375.708
2009-08-03,out_incl_losses,ch,149625851.602
2009-08-04,in,ch,220628150.985
2009-08-04,out,ch,131974696.13
2009-08-04,out_incl_losses,ch,149226072.557
2009-08-05,in,ch,215217450.865
2009-08-05,out,ch,132111131.085
2009-08-05,out_incl_losses,ch,148316081.68675
2009-08-06,in,ch,226083165.188
2009-08-06,out,ch,134587234.52
2009-08-06,out_incl_losses,ch,152044341.07525
2009-08-07,in,ch,215691462.307
2009-08-07,out,ch,136375771.882
2009-08-07,out_incl_losses,ch,154155477.13625
2009-08-08,in,ch,187736486.602
2009-08-08,out,ch,119545610.099
2009-08-08,out_incl_losses,ch,136628772.5005
2009-08-09,in,ch,150973158.138
2009-08-09,out,ch,107711856.712
2009-08-09,out_incl_losses,ch,128730376.831
2009-08-10,in,ch,189039714.882
2009-08-10,out,ch,140927450.426
2009-08-10,out_incl_losses,ch,159238634.86475
2009-08-11,in,ch,190899633.9105
2009-08-11,out,ch,142319763.569
2009-08-11,out_incl_losses,ch,160612054.938
2009-08-12,in,ch,188086186.435
2009-08-12,out,ch,142391886.136
2009-08-12,out_incl_losses,ch,159772598.66475
2009-08-13,in,ch,192683405.61
2009-08-13,out,ch,143668453.246
2009-08-13,out_incl_losses,ch,160320579.682
2009-08-14,in,ch,194723269.88
2009-08-14,out,ch,142067541.819
2009-08-14,out_incl_losses,ch,157313646.115
2009-08-15,in,ch,165558259.963
2009-08-15,out,ch,119105348.647
2009-08-15,out_incl_losses,ch,133989016.02275
2009-08-16,in,ch,152861177.465
2009-08-16,out,ch,110433739.722
2009-08-16,out_incl_losses,ch,129118770.56
2009-08-17,in,ch,188490369.174
2009-08-17,out,ch,145947278.746
2009-08-17,out_incl_losses,ch,162190042.8325
2009-08-18,in,ch,179266965.785
